"특성별",2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025
"특성별",전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원),전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원),전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원),전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원),전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원),전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원),전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원),전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원),전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원),전체 (억원),초등학교 (억원),중학교 (억원),고등학교 (억원),일반고 (억원)
"국어",11318.41122,4030.42698,2455.77849,4832.20575,4699.30458,12576.54155,4558.29325,2527.49539,5490.75292,5412.40464,13854.34999,4807.52758,2558.52987,6488.29253,6406.55965,15013.37119,5098.19423,2614.70616,7300.47081,7181.80455,16014.01856,5173.21009,3017.53334,7823.27513,7630.58081,19271.03621,6394.05862,4056.85872,8820.11887,8677.30454,21576.50146,7081.7947,4682.01592,9812.69085,9636.20103,23669.06279,7880.22553,4942.37201,10846.46525,10659.01636,25646.34241,8128.36427,5681.28809,11836.69004,11693.94164,23274.55887,6249.05341,5457.89249,11567.61298,11384.64879
"영어",55442.83826,21630.80759,17658.52729,16153.50338,15626.9257,54249.73913,21354.18024,17383.04545,15512.51344,15100.10706,56729.11267,22894.21206,17856.19975,15978.70086,15596.27658,61380.76883,25796.89361,18858.65165,16725.22358,16238.62534,59908.08439,22951.42112,19413.07157,17543.5917,17013.49366,71396.30276,30836.77824,22549.9515,18009.57302,17430.85664,77943.01409,34524.9144,24688.96134,18729.13835,18184.40885,79873.36255,35069.22217,24696.09652,20108.04387,19562.81393,86859.37699,38146.20494,27210.82647,21502.34558,21035.23548,78977.19385,33127.43736,26004.87448,19844.88201,19304.45981
"수학",53636.23858,12916.59017,18889.76991,21829.8785,21371.46513,53931.26046,13789.42247,18366.93246,21774.90553,21289.95521,55478.72189,14503.56473,19213.51254,21761.64462,21379.00212,58914.88912,16590.98548,20112.47807,22211.42557,21765.55487,59959.80471,15804.95729,20927.34377,23227.50364,22692.8941,67355.79364,19962.27839,24076.00775,23317.5075,22724.2116,73245.61057,22584.80808,26356.73512,24304.06736,23749.90649,76349.98458,23338.25702,26824.42744,26187.30012,25494.91529,82761.53731,25866.87423,29523.90392,27370.75916,26935.61263,77119.21247,23573.22102,27880.53396,25665.45749,25138.85648
"사회, 과학",7025.39228,2311.55505,2423.4278,2290.40942,2252.03811,7420.0508,2673.27293,2353.65149,2393.12639,2362.30251,7744.49869,2566.78937,2356.40774,2821.30158,2799.56074,8503.09692,2611.40114,2508.66679,3383.02899,3347.50012,8785.92865,2244.92102,2536.78381,4004.22382,3971.2506,10466.3852,2905.79896,3354.45014,4206.13609,4151.3798,11359.96412,2988.89363,3504.30512,4866.76537,4811.18532,12140.01096,2984.2369,3548.81764,5606.95642,5540.45403,12600.33969,3015.36199,3688.21431,5896.76339,5849.706,11214.54962,2219.47486,3425.20828,5569.86647,5518.91298
"논술",5389.61869,3266.61093,1080.81588,1042.19188,1028.17998,5273.82869,3243.50218,1125.83173,904.49478,881.85958,6029.78905,3880.68586,1347.0171,802.08608,773.75516,6524.68459,4200.66732,1295.02408,1028.99319,1017.00941,5994.28259,3704.18165,1559.73554,730.36539,689.55838,7518.3081,4875.20243,1912.29728,730.80839,704.9111,8236.16271,5397.82392,1996.35985,841.97895,782.32001,8227.63919,5630.42103,1893.38047,703.8377,674.28344,8998.56017,6127.18114,2040.19721,831.18182,820.74097,9123.49023,5881.23759,2087.6016,1154.65104,1132.14617
"제2외국어, 한문, 컴퓨터 등",2243.57182,1327.59402,544.2811,371.6967,252.30024,2413.90242,1337.59458,560.00871,516.29914,363.14826,2763.77383,1673.68157,532.11662,557.97564,438.91887,3714.94005,2247.294,801.91956,665.72649,518.95927,2561.21835,1296.8097,615.55698,648.85167,510.84272,3390.21114,2003.16582,769.82805,617.21727,466.99354,3575.211,2270.883,717.75935,586.56865,464.90187,3526.91076,2179.72294,624.45129,722.73653,587.50845,3449.05785,1989.96632,685.8067,773.28483,644.85653,2656.35858,1635.13464,491.17057,530.05337,484.49449
"컴퓨터",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1154.8689,728.02179,218.44619,208.40091,122.43404,732.91303,307.57643,190.10621,235.23039,130.38606,1261.07477,728.30317,276.65745,256.11416,148.18462,1536.08143,913.89827,340.16395,282.01922,196.56199,1487.13882,913.57739,303.2709,270.29052,164.85845,1419.67573,754.39798,355.70265,309.5751,207.56055,900.04129,543.03384,195.44388,161.56357,132.10236
"제2외국어, 한문 등",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2560.07115,1519.2722,583.47337,457.32558,396.52524,1828.30533,989.23327,425.45078,413.62129,380.45666,2129.13637,1274.86265,493.17061,361.10311,318.80892,2039.12957,1356.98473,377.59541,304.54944,268.33988,2039.77194,1266.14555,321.18039,452.44601,422.65,2029.38212,1235.56833,330.10405,463.70974,437.29598,1756.31729,1092.10079,295.7267,368.4898,352.39213
"과목: 예체능, 취미·교양 사교육",44733.21067,31954.79633,5049.34599,7729.06835,6932.35988,49159.91803,34238.42243,5864.03165,9057.46395,8450.49039,50706.40053,35039.40086,5981.15435,9685.84532,8841.24508,54274.35689,38814.49915,6210.16475,9249.69299,8443.80965,38640.80806,24684.78777,5727.90801,8228.11228,7330.77742,53101.67656,38088.54296,6603.16012,8409.97348,7600.67961,61975.12716,43973.18876,8695.09626,9306.84213,8375.51793,65543.09314,46879.03954,8813.46405,9850.58955,8808.08228,69559.3,48796.92713,9277.18858,11485.18429,10341.53422,70782.94816,48793.42214,10204.0947,11785.43131,10537.13891
"음악",16245.51271,12249.23544,1653.90753,2342.36974,2254.68987,16650.29948,12405.86027,1932.63938,2311.79983,2186.6558,16335.84398,11740.38208,1591.92948,3003.53242,2892.13287,17706.45825,12982.24678,1896.32589,2827.88558,2699.73547,12432.43479,8641.07435,1552.24029,2239.12015,2144.31551,16854.81488,13052.94457,1613.66848,2188.20184,2055.59861,19139.51262,14404.19972,2004.59028,2730.72262,2577.08514,18421.70966,13597.39211,2203.30897,2621.00859,2413.91001,18630.55332,13645.13276,2118.79867,2866.62189,2693.11167,18875.58673,13559.51304,2415.10726,2900.96643,2732.05566
"미술",7351.92884,3911.54569,539.03315,2901.35001,2523.30575,7889.45966,4228.91974,852.9786,2807.56132,2708.53795,8718.14741,4596.85514,767.87407,3353.4182,3084.91984,9119.1303,5280.96986,855.69016,2982.47027,2844.24588,6959.61553,3375.2463,754.94753,2829.4217,2552.65053,9915.9673,5686.39799,907.07763,3322.49169,3025.9377,10879.46298,6382.31263,1361.14603,3136.00432,2921.99638,11107.04006,6583.56243,1034.74903,3488.7286,3238.24171,11587.47868,6547.7215,1097.32185,3942.43533,3655.78594,11641.85521,6556.34873,1377.63616,3707.87032,3420.91646
"체육",17163.37079,13676.05666,2225.08966,1262.22446,1076.01725,19547.88244,15059.94658,2354.58311,2133.35275,1917.26098,20651.67716,16023.94277,2814.60159,1813.13279,1501.99966,22524.31411,18026.91382,2593.99744,1903.40284,1553.78545,15861.21495,11269.99815,2686.05585,1905.16095,1558.39243,22199.37846,17373.32114,3196.0043,1630.05303,1434.24517,26986.68627,20831.67496,4261.33821,1893.6731,1619.36022,30281.19557,23597.07239,4396.13271,2287.99047,1910.3862,32947.61733,25432.58728,4723.78883,2791.24122,2326.88875,33320.34292,25510.42804,5053.13455,2756.78033,2347.56497
"취미·교양",3972.39833,2117.95854,631.31565,1223.12414,1078.34701,5072.27646,2543.69585,723.83056,1804.75005,1638.03566,5000.73199,2678.22087,806.74921,1515.76191,1362.1927,4924.45424,2524.36869,864.15126,1535.9343,1346.04286,3387.54279,1398.46897,734.66435,1254.40947,1075.41894,4131.51592,1975.87926,886.40973,1269.22692,1084.89813,4969.46529,2355.00146,1068.02174,1546.4421,1257.0762,5733.14784,3101.01261,1179.27334,1452.86189,1245.54435,6393.65067,3171.48559,1337.27923,1884.88586,1665.74786,6945.16329,3167.13233,1358.21673,2419.81423,2036.60183
"과목: 취업관련 사교육",816.39818,0,0,816.39818,469.5892,1197.32401,0,0,1197.32401,708.22272,928.75685,0,0,928.75685,636.79297,910.02059,0,0,910.02059,548.88216,894.68736,0,0,894.68736,539.29103,901.14,0,0,901.14,512.81908,736.36463,-,-,736.36463,431.32033,832.52408,-,-,832.52408,506.82005,1038.03309,-,-,1038.03309,688.3339,980.16212,0,0,980.16212,711.23558
"과목: 진로·진학 학습상담",-,-,-,-,-,480.12685,115.82532,115.78236,248.51918,241.5242,616.44438,165.52516,127.39356,323.52566,308.81783,733.57238,237.00706,152.63659,343.92874,322.22877,773.30327,246.5536,145.04915,381.70053,355.98997,757.53569,213.20376,157.80814,386.52379,368.11065,889.97916,233.03073,190.5937,466.35473,450.24376,981.28059,260.64919,190.49793,530.13347,503.1405,1006.69154,185.44805,231.02191,590.22157,572.95162,1222.0837,264.71361,242.61205,714.75804,687.44408
"유형: 일반교과 사교육",135056.07085,45483.58475,43052.60048,46519.88563,45230.21373,135865.32307,46956.26565,42316.96522,46592.09219,45409.77726,142600.24612,50326.46117,43863.78363,48410.00132,47394.07311,154051.7507,56545.43577,46191.44631,51314.86862,50069.45357,153223.33725,51175.50088,48070.02502,53977.81136,52508.62027,179398.03705,66977.28246,56719.39345,55701.36113,54155.65721,195936.46395,74849.11772,61946.1367,59141.20952,57628.92357,203786.97084,77082.08559,62529.54537,64175.33988,62518.99149,220315.21442,83273.95288,68830.23671,68211.02482,66980.09326,202365.36362,72685.55887,65347.28139,64332.52336,62963.51872
"개인과외",21922.50659,4131.09022,6731.99485,11059.42153,10651.42655,19336.96129,3970.27455,5590.71128,9775.97546,9415.65758,20234.24815,4651.20054,5926.3608,9656.68682,9339.98877,19901.74607,4475.93451,5633.39419,9792.41737,9471.3821,21146.87337,5072.6962,6239.95012,9834.22706,9423.14387,24214.43326,6205.42868,7459.60784,10549.39675,10141.69075,24602.15316,5956.62132,8004.91958,10640.61226,10197.98682,22999.72335,5749.5225,6653.87055,10596.3303,10159.90421,22491.22901,5149.51108,6487.9029,10853.81503,10522.49945,18743.67944,3843.33965,5462.53461,9437.80518,9106.9046
"그룹과외",13535.97685,5041.52671,3831.02205,4663.42809,4564.64554,14644.49159,5378.66492,4507.40515,4758.42152,4675.58485,14853.86066,5865.14958,4488.41346,4500.29761,4423.49531,14376.73713,5760.94474,4453.41843,4162.37397,4096.42448,14410.4741,5419.65295,4674.19864,4316.62251,4193.04009,15094.65971,5815.44472,5470.25425,3808.96074,3719.0746,14697.84929,6131.26273,4866.09034,3700.49623,3626.03403,13516.45863,5083.73744,4498.95195,3933.76924,3814.36802,12536.48672,4760.55831,4293.27111,3482.65729,3415.8385,11112.36298,4425.6906,3593.39715,3093.27523,3030.47825
"학원수강",89075.42796,27896.06083,31139.09779,30040.26934,29290.31161,90923.2,28789.93631,30873.12718,31260.13652,30569.56341,95726.65402,30378.83148,31979.79914,33368.02339,32788.29417,106973.85576,36263.50931,34404.29898,36306.04746,35486.84462,105446.10876,31562.9739,35179.94476,38703.19011,37832.33261,124475.13233,43793.13328,41147.09052,39534.90854,38567.12074,139755.40118,50845.37327,46154.62681,42755.4011,41850.72718,150344.34255,54452.09763,48568.58806,47323.65687,46336.0374,169060.48313,62218.09408,55244.44976,51597.93929,50831.07598,160608.81635,56653.54412,53968.19626,49987.07597,49080.53437
"방문학습지",7480.05395,6645.18117,743.83124,91.04154,79.38103,7801.21495,6889.69063,789.0143,122.51002,109.65895,7920.38091,7070.40534,754.1854,95.79018,80.38978,7996.46529,7163.76647,768.92095,63.77786,55.07915,7199.27106,6313.44519,817.78971,68.03616,53.19306,7356.76501,6459.91589,825.79433,71.05478,54.8673,7253.30171,6417.87458,769.7137,65.71343,52.9009,6750.98308,6014.56884,674.81233,61.60191,46.44863,6569.16761,5793.24485,704.0651,71.85765,54.06872,5040.23427,4400.46991,599.41838,40.34599,28.56154
"유료인터넷 및 통신강좌 등",3042.10551,1769.72582,606.65455,665.72513,644.44901,3159.45524,1927.69925,556.70732,675.04868,639.31247,3865.10239,2360.87423,715.02484,789.20332,761.90509,4802.94645,2881.28073,931.41377,990.25196,959.72322,5020.60996,2806.73264,1158.1418,1055.73552,1006.91063,8257.04673,4703.3599,1816.64651,1737.04033,1672.90382,9627.75861,5497.98582,2150.78629,1978.98651,1901.27464,10175.46324,5782.15918,2133.32249,2259.98157,2162.23323,9657.84796,5352.54457,2100.54783,2204.75556,2156.61061,6860.27057,3362.5146,1723.73499,1774.02098,1717.03995
"유형: 예체능, 취미·교양 사교육",44733.21067,31954.79633,5049.34599,7729.06835,6932.35988,49159.91803,34238.42243,5864.03165,9057.46395,8450.49039,50706.40053,35039.40086,5981.15435,9685.84532,8841.24508,54274.35689,38814.49915,6210.16475,9249.69299,8443.80965,38640.80806,24684.78777,5727.90801,8228.11228,7330.77742,53101.67656,38088.54296,6603.16012,8409.97348,7600.67961,61975.12716,43973.18876,8695.09626,9306.84213,8375.51793,65543.09314,46879.03954,8813.46405,9850.58955,8808.08228,69559.3,48796.92713,9277.18858,11485.18429,10341.53422,70782.94816,48793.42214,10204.0947,11785.43131,10537.13891
"개인과외",7282.15607,3928.63474,1293.05041,2060.47093,1995.15054,8049.78726,3824.5926,1646.72669,2578.46797,2442.97311,8098.68616,4134.30006,1268.51816,2695.86795,2573.16681,7884.39315,3947.31874,1317.92794,2619.14646,2442.77221,7049.29696,3441.35549,1506.89395,2101.04752,1964.28053,7409.03475,3947.69815,1445.48193,2015.85467,1891.7541,8027.18927,3808.35755,1748.97701,2469.85471,2317.38463,7727.6012,3527.92286,1772.37322,2427.30512,2207.77424,7340.49908,3137.40095,1624.04495,2579.05317,2387.41496,7575.29583,3353.35945,1672.87701,2549.05938,2397.70635
"그룹과외",2951.19801,2141.69013,485.82972,323.67817,265.82574,3752.36739,2785.29961,554.01082,413.05696,378.14576,3995.68888,2862.04267,721.36684,412.27938,325.35349,4136.75941,3100.43123,570.46185,465.86632,395.38767,3018.31826,1793.2254,706.34076,518.7521,401.96057,3081.07808,2106.78841,619.96712,354.32256,285.7107,3584.25396,2353.78528,826.78895,403.67972,341.86106,3384.66375,2206.8472,723.13204,454.68451,382.317,3416.64084,2024.99418,740.1162,651.53047,498.99091,3107.05492,1886.31248,716.17954,504.5629,388.34708
"학원수강",32264.11049,24159.31988,2977.38271,5127.4079,4486.58226,34481.76095,25297.54063,3302.7457,5881.47462,5488.11971,36191.78711,26165.36806,3625.83717,6400.58188,5817.41078,39804.26358,29880.65216,3956.33504,5967.27638,5458.9689,27214.29397,18478.43004,3290.67205,5445.19188,4849.29273,41018.88213,30881.41947,4281.42998,5856.03268,5284.93628,48272.9285,36266.70523,5781.53479,6224.68848,5554.42093,51981.22434,39332.39767,5921.93043,6726.89624,6026.00482,56316.0509,41810.60806,6489.04399,8016.39885,7294.30208,57162.82605,41483.19456,7267.11758,8412.51392,7521.71252
"방문수업 및 기타",2235.74609,1725.15158,293.08315,217.51136,184.80135,2876.00243,2330.98959,360.54844,184.46441,141.25181,2420.23838,1877.69007,365.43219,177.11611,125.31399,2448.94077,1886.09701,365.43992,197.40383,146.68088,1358.89887,971.77684,224.00126,163.12078,115.24359,1592.6816,1152.63693,256.2811,183.76357,138.27853,2090.75543,1544.34069,337.79551,208.61922,161.85131,2449.60385,1811.87182,396.02835,241.70367,191.98623,2486.10917,1823.92394,423.98344,238.2018,160.82627,2937.77135,2070.55566,547.92058,319.29512,229.37296
