"과목 및 유형",2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025
"과목 및 유형",평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%)
"제2외국어, 한문, 컴퓨터 등",5.13164,6.89743,6.54597,5.17546,4.48618,3.35361,5.27789,7.13076,6.4916,5.58544,4.40599,3.49494,1.71666,1.69123,1.84871,1.75704,1.75823,1.4863,2.18172,2.12542,2.15478,2.23528,2.34657,1.98695,2.00886,1.69961,2.17326,1.95798,1.9929,2.09579,1.99007,2.16375,1.80399,2.01115,2.37294,1.66339,1.72831,1.34395,1.58779,1.84406,1.45359,2.18776,1.99654,1.38022,2.22408,1.71525,2.16297,2.35865,1.9143,2.04843,1.83123,1.95534,2.11075,1.66246,1.31796,1.34546,1.3402,1.40956,1.11949,1.34146
"컴퓨터",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.71739,0.5122,0.82503,0.66574,0.83736,0.67023,0.7167,0.56017,0.73295,0.67057,0.86559,0.70023,0.82548,0.85557,0.75456,0.79174,1.02274,0.73141,0.7735,0.72931,0.60721,0.79428,0.61988,1.09963,0.77616,0.61563,0.71925,0.65285,0.76873,1.12327,0.79931,0.8222,0.64108,0.81149,0.891,0.83945,0.46421,0.38525,0.56605,0.5015,0.3677,0.43977
"제2외국어, 한문",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.50735,1.62404,1.36507,1.66079,1.53114,1.33235,1.3204,1.18576,1.4656,1.30219,1.18598,1.4066,1.21926,1.34052,1.08051,1.22446,1.48314,1.01872,0.9885,0.61464,1.0443,1.08903,0.83801,1.13,1.24149,0.76459,1.50482,1.07836,1.45363,1.25886,1.13879,1.2509,1.19383,1.15802,1.26657,0.85852,0.89559,1.0052,0.7991,0.98234,0.80039,0.90169
"과목: 예체능,취미,교양 사교육",37.79443,40.42006,37.85065,38.13206,37.15821,36.49582,41.1266,40.9202,41.79562,40.94041,41.47045,40.48054,15.87079,7.50039,10.624,14.86341,20.03458,23.10148,14.83858,7.17646,9.53506,13.68331,18.67026,22.25068,13.50697,7.1331,9.46507,11.93064,16.43608,20.51837,14.58092,7.01465,9.87918,13.86759,16.99143,22.14383,15.99889,8.51572,10.7911,13.91405,19.85283,24.78759,16.02199,7.91343,10.61291,14.57266,20.15807,24.14556,17.2215,8.91199,10.80109,15.5789,20.34121,27.7323,17.14201,8.47226,10.41328,17.0201,20.83581,25.52272
"음악",17.90792,24.32502,20.37107,18.95058,15.30644,13.09421,18.30524,23.26044,21.37934,18.75973,16.22246,14.01642,4.37317,2.77765,3.08938,3.81975,5.81566,5.93753,3.8398,2.22986,2.82242,3.60193,4.42588,5.51511,3.18927,2.38595,2.26526,2.88518,3.64461,4.57955,3.36035,2.14164,2.26034,3.25355,3.66799,5.01013,3.9266,2.38854,3.0652,3.19749,4.56187,6.14271,3.80393,2.31898,2.9403,3.39003,4.449,5.50442,3.82234,2.82721,2.79546,3.10352,4.36094,5.99189,3.7016,2.26338,2.42102,3.71653,4.18462,5.3493
"미술",7.67156,9.03974,8.24425,7.7427,7.434,6.5044,8.32909,8.83977,9.02568,8.65692,8.1482,7.03833,3.74777,1.31557,2.98795,4.48831,4.43289,3.98668,3.24415,1.70226,2.04556,3.23625,4.52567,3.99919,3.30515,1.58984,2.59148,3.55579,3.87213,3.9916,4.22647,2.02342,3.22327,4.39589,4.99852,5.38807,4.11207,1.79466,2.94089,3.81159,5.83992,5.2765,4.12405,1.64278,2.87201,4.22296,5.13954,5.59779,4.33439,2.31875,2.49743,4.32963,5.64483,5.99243,3.73753,1.62651,2.5153,4.21554,4.85972,4.29412
"체육",22.08457,21.80751,21.47664,22.33499,22.3719,22.17746,24.01682,22.82391,23.72401,23.70188,24.94124,24.47154,5.49668,2.70374,3.40627,4.72045,6.8558,8.98012,5.48525,2.21029,3.10533,5.09303,7.06285,8.67665,5.10343,2.3777,3.3846,4.19685,6.06018,8.75402,4.9913,2.16944,3.06857,4.30701,5.97571,8.54769,5.77378,3.25856,3.52634,4.97804,6.72472,9.75745,6.0586,2.74068,3.7106,5.28861,7.78166,9.76866,6.69708,3.25244,4.20017,6.00594,7.16177,11.75638,6.85506,3.47538,4.2062,6.4443,8.23151,10.79012
"취미·교양",4.52316,4.81214,3.80621,4.62131,4.66102,4.81407,5.31348,4.63308,5.20617,4.86947,5.65289,6.10365,2.89518,0.85837,1.41158,2.3159,3.68267,5.62434,3.01135,1.1621,1.85204,2.37366,3.68335,5.48852,2.4939,1.18046,1.55019,1.73783,3.52093,4.28113,2.61173,0.96905,1.5573,2.27645,2.90662,4.80515,2.98142,1.36009,1.66355,2.48404,3.68543,5.29257,2.95923,1.41541,1.66791,2.48922,4.00012,4.82299,3.25567,0.85864,1.77584,2.62802,4.20799,6.08066,3.5407,1.534,1.78335,3.16606,4.42233,6.21571
"과목: 취업관련 사교육",0.53138,0.52466,0.50806,0.45615,0.50329,0.70153,0.81892,0.80227,0.67121,0.78422,0.86756,0.98176,2.17501,1.31582,1.60284,1.78731,2.71147,3.28117,2.4306,1.56833,1.86361,2.23646,2.56363,3.64046,2.2526,1.48314,1.53875,1.75523,2.44125,3.9772,2.40613,1.72001,1.95247,2.18579,2.4114,3.58277,1.93065,1.47005,1.37929,1.6968,1.88926,3.16821,1.94125,0.97458,1.32568,1.67265,2.35621,3.1084,2.2824,1.03533,1.49589,2.11301,2.57324,3.73783,1.83593,1.05345,1.07577,1.57514,2.4062,2.90444
"과목: 진로·진학 학습상담",-,-,-,-,-,-,3.01578,3.3297,2.64835,2.79127,2.94737,3.63848,4.68429,6.79125,5.96993,4.17461,4.01041,3.69922,3.2521,6.355,3.73498,2.94775,2.57897,2.26339,3.18785,5.74195,3.9697,2.90843,2.15179,2.51275,3.4688,6.4613,4.7346,2.84074,2.5873,2.43431,3.97421,7.48881,5.67089,3.24459,2.92174,2.51534,4.45398,8.22759,5.86247,4.01369,3.22321,2.86404,4.54441,8.59157,6.08164,4.13564,2.94725,3.05457,5.34923,9.97658,7.40153,4.80016,3.91077,2.95076
